t_sec,risk_R,prob_P,impact_I,severity_S,sprot_m,cognitive_C,mode,lambda,min_distance_m,nearest_body_part,human_tracking,kit_name,task_item,condition_label
0.208,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.3619,L_Hand,True,Kit A,Bolt,
0.417,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.3619,L_Hand,True,Kit A,Bolt,
0.624,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.3546,L_Hand,True,Kit A,Bolt,
0.833,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.3546,L_Hand,True,Kit A,Bolt,
1.041,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.3546,L_Hand,True,Kit A,Bolt,
1.250,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.3688,R_Hand,True,Kit A,Bolt,
1.457,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.3807,R_Hand,True,Kit A,Bolt,
1.666,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.3963,R_Hand,True,Kit A,Bolt,
1.876,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.3065,R_Hand,True,Kit A,Bolt,
2.084,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.2985,R_Hand,True,Kit A,Bolt,
2.291,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.2838,R_Hand,True,Kit A,Bolt,
2.504,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.2648,R_Hand,True,Kit A,Bolt,
2.708,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.2313,R_Hand,True,Kit A,Bolt,
2.917,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.2294,R_Hand,True,Kit A,Bolt,
3.124,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.2294,R_Hand,True,Kit A,Bolt,
3.333,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.2353,R_Hand,True,Kit A,Bolt,
3.541,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.2559,R_Hand,True,Kit A,Bolt,
3.750,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.2756,R_Hand,True,Kit A,Bolt,
3.958,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.2587,R_Hand,True,Kit A,Bolt,
4.167,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.2357,R_Hand,True,Kit A,Bolt,
4.375,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.2357,R_Hand,True,Kit A,Bolt,
4.584,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.2072,R_Hand,True,Kit A,Bolt,
4.791,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.2072,R_Hand,True,Kit A,Bolt,
5.000,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.2388,R_Hand,True,Kit A,Bolt,
5.208,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.2388,L_Hand,True,Kit A,Bolt,
5.417,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.2713,L_Hand,True,Kit A,Bolt,
5.625,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.3985,L_Hand,True,Kit A,Bolt,
5.833,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.3983,L_Hand,True,Kit A,Bolt,
6.042,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.3983,L_Hand,True,Kit A,Bolt,
6.250,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.3950,L_Hand,True,Kit A,Bolt,
6.458,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.3950,L_Hand,True,Kit A,Bolt,
6.667,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.3950,L_Hand,True,Kit A,Bolt,
6.874,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.3965,L_Hand,True,Kit A,Bolt,
7.084,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.3951,L_Hand,True,Kit A,Bolt,
7.291,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.3946,L_Hand,True,Kit A,Bolt,
7.500,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.3946,L_Hand,True,Kit A,Bolt,
7.708,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.3627,R_Hand,True,Kit A,Bolt,
7.917,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.3564,R_Hand,True,Kit A,Bolt,
8.125,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.3564,L_Hand,True,Kit A,Bolt,
8.333,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.3640,L_Hand,True,Kit A,Bolt,
8.541,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.3905,L_Hand,True,Kit A,Bolt,
8.750,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.3682,R_Hand,True,Kit A,Bolt,
8.958,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.3340,R_Hand,True,Kit A,Bolt,
9.166,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.3127,R_Hand,True,Kit A,Bolt,
9.375,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.3021,R_Hand,True,Kit A,Bolt,
9.583,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.3021,R_Hand,True,Kit A,Bolt,
9.791,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.3026,L_Hand,True,Kit A,Bolt,
9.999,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.2418,L_Hand,True,Kit A,Bolt,
10.208,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.1870,L_Hand,True,Kit A,Bolt,
10.417,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.1870,L_Hand,True,Kit A,Bolt,
10.624,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.1870,L_Hand,True,Kit A,Bolt,
10.833,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.2034,L_Hand,True,Kit A,Bolt,
11.041,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.2036,L_Hand,True,Kit A,Bolt,
11.250,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.2036,L_Hand,True,Kit A,Bolt,
11.457,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.2037,L_Hand,True,Kit A,Bolt,
11.666,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.2039,L_Hand,True,Kit A,Bolt,
11.875,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.2035,L_Hand,True,Kit A,Bolt,
12.083,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.2032,L_Hand,True,Kit A,Bolt,
12.291,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.2032,L_Hand,True,Kit A,Bolt,
12.499,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.2040,L_Hand,True,Kit A,Bolt,
12.708,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.2069,L_Hand,True,Kit A,Bolt,
12.916,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.2079,L_Hand,True,Kit A,Bolt,
13.124,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.2079,L_Hand,True,Kit A,Bolt,
13.333,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.2083,L_Hand,True,Kit A,Bolt,
13.541,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.1812,L_Hand,True,Kit A,Bolt,
13.750,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.1734,L_Hand,True,Kit A,Bolt,
13.958,0.3000,1.0000,1.0000,0.30,0.8230,0.8500,HumanLed,0.0000,0.1734,L_Hand,True,Kit A,Bolt,
14.166,0.3000,1.0000,1.0000,0.30,0.8230,0.3308,HumanLed,0.0000,0.1892,R_Hand,True,Kit A,Bolt,
14.374,0.3000,1.0000,1.0000,0.30,0.8230,0.3308,HumanLed,0.0000,0.2147,R_Hand,True,Kit A,Bolt,
14.583,0.3000,1.0000,1.0000,0.30,0.8230,0.3308,HumanLed,0.0000,0.2523,R_Hand,True,Kit A,Bolt,
14.791,0.3000,1.0000,1.0000,0.30,0.8230,0.3308,HumanLed,0.0000,0.2223,L_Hand,True,Kit A,Bolt,
15.000,0.3000,1.0000,1.0000,0.30,0.8230,0.3308,HumanLed,0.0000,0.2222,L_Hand,True,Kit A,Bolt,
15.207,0.3000,1.0000,1.0000,0.30,0.8230,0.3308,HumanLed,0.0000,0.2222,L_Hand,True,Kit A,Bolt,
15.417,0.3000,1.0000,1.0000,0.30,0.8230,0.3308,HumanLed,0.0000,0.2306,L_Hand,True,Kit A,Bolt,
15.624,0.3000,1.0000,1.0000,0.30,0.8230,0.3308,HumanLed,0.0000,0.2082,L_Hand,True,Kit A,Bolt,
15.833,0.3000,1.0000,1.0000,0.30,0.8230,0.3308,HumanLed,0.0000,0.1899,L_Hand,True,Kit A,Bolt,
16.041,0.5000,1.0000,1.0000,0.50,0.8230,0.3308,HumanLed,0.0000,0.1899,R_Forearm,True,Kit A,Bolt,
16.250,0.5000,1.0000,1.0000,0.50,0.8230,0.3308,HumanLed,0.0000,0.1853,R_Forearm,True,Kit A,Bolt,
16.463,0.5000,1.0000,1.0000,0.50,0.8230,0.3308,HumanLed,0.0000,0.1703,R_Forearm,True,Kit A,Bolt,
16.667,0.5000,1.0000,1.0000,0.50,0.8230,0.3308,HumanLed,0.0000,0.1703,R_Forearm,True,Kit A,Bolt,
16.874,0.3000,1.0000,1.0000,0.30,0.8230,0.3308,HumanLed,0.0000,0.0658,R_Hand,True,Kit A,Bolt,
